marker,chrom,pos
SNP_1,1,1
SNP_2,1,2
SNP_3,1,3
SNP_4,1,4
SNP_5,1,5
SNP_6,1,6
SNP_7,1,7
SNP_8,1,8
SNP_9,1,9
SNP_10,1,10
SNP_11,1,11
SNP_12,1,12
SNP_13,1,13
SNP_14,1,14
SNP_15,1,15
SNP_16,1,16
SNP_17,1,17
SNP_18,1,18
SNP_19,1,19
SNP_20,1,20
SNP_21,1,21
SNP_22,1,22
SNP_23,1,23
SNP_24,1,24
SNP_25,1,25
SNP_26,1,26
SNP_27,1,27
SNP_28,1,28
SNP_29,1,29
SNP_30,1,30
SNP_31,1,31
SNP_32,1,32
SNP_33,1,33
SNP_34,1,34
SNP_35,1,35
SNP_36,1,36
SNP_37,1,37
SNP_38,1,38
SNP_39,1,39
SNP_40,1,40
SNP_41,1,41
SNP_42,1,42
SNP_43,1,43
SNP_44,1,44
SNP_45,1,45
SNP_46,1,46
SNP_47,1,47
SNP_48,1,48
SNP_49,1,49
SNP_50,1,50
SNP_51,1,51
SNP_52,1,52
SNP_53,1,53
SNP_54,1,54
SNP_55,1,55
SNP_56,1,56
SNP_57,1,57
SNP_58,1,58
SNP_59,1,59
SNP_60,1,60
SNP_61,1,61
SNP_62,1,62
SNP_63,1,63
SNP_64,1,64
SNP_65,1,65
SNP_66,1,66
SNP_67,1,67
SNP_68,1,68
SNP_69,1,69
SNP_70,1,70
SNP_71,1,71
SNP_72,1,72
SNP_73,1,73
SNP_74,1,74
SNP_75,1,75
SNP_76,1,76
SNP_77,1,77
SNP_78,1,78
SNP_79,1,79
SNP_80,1,80
SNP_81,1,81
SNP_82,1,82
SNP_83,1,83
SNP_84,1,84
SNP_85,1,85
SNP_86,1,86
SNP_87,1,87
SNP_88,1,88
SNP_89,1,89
SNP_90,1,90
SNP_91,1,91
SNP_92,1,92
SNP_93,1,93
SNP_94,1,94
SNP_95,1,95
SNP_96,1,96
SNP_97,1,97
SNP_98,1,98
SNP_99,1,99
SNP_100,1,100
SNP_101,1,101
SNP_102,1,102
SNP_103,1,103
SNP_104,1,104
SNP_105,1,105
SNP_106,1,106
SNP_107,1,107
SNP_108,1,108
SNP_109,1,109
SNP_110,1,110
SNP_111,1,111
SNP_112,1,112
SNP_113,1,113
SNP_114,1,114
SNP_115,1,115
SNP_116,1,116
SNP_117,1,117
SNP_118,1,118
SNP_119,1,119
SNP_120,1,120
SNP_121,1,121
SNP_122,1,122
SNP_123,1,123
SNP_124,1,124
SNP_125,1,125
SNP_126,1,126
SNP_127,1,127
SNP_128,1,128
SNP_129,1,129
SNP_130,1,130
SNP_131,1,131
SNP_132,1,132
SNP_133,1,133
SNP_134,1,134
SNP_135,1,135
SNP_136,1,136
SNP_137,1,137
SNP_138,1,138
SNP_139,1,139
SNP_140,1,140
SNP_141,1,141
SNP_142,1,142
SNP_143,1,143
SNP_144,1,144
SNP_145,1,145
SNP_146,1,146
SNP_147,1,147
SNP_148,1,148
SNP_149,1,149
SNP_150,1,150
SNP_151,1,151
SNP_152,1,152
SNP_153,1,153
SNP_154,1,154
SNP_155,1,155
SNP_156,1,156
SNP_157,1,157
SNP_158,1,158
SNP_159,1,159
SNP_160,1,160
SNP_161,1,161
SNP_162,1,162
SNP_163,1,163
SNP_164,1,164
SNP_165,1,165
SNP_166,1,166
SNP_167,1,167
SNP_168,1,168
SNP_169,1,169
SNP_170,1,170
SNP_171,1,171
SNP_172,1,172
SNP_173,1,173
SNP_174,1,174
SNP_175,1,175
SNP_176,1,176
SNP_177,1,177
SNP_178,1,178
SNP_179,1,179
SNP_180,1,180
SNP_181,1,181
SNP_182,1,182
SNP_183,1,183
SNP_184,1,184
SNP_185,1,185
SNP_186,1,186
SNP_187,1,187
SNP_188,1,188
SNP_189,1,189
SNP_190,1,190
SNP_191,1,191
SNP_192,1,192
SNP_193,1,193
SNP_194,1,194
SNP_195,1,195
SNP_196,1,196
SNP_197,1,197
SNP_198,1,198
SNP_199,1,199
SNP_200,1,200
SNP_201,1,201
SNP_202,1,202
SNP_203,1,203
SNP_204,1,204
SNP_205,1,205
SNP_206,1,206
SNP_207,1,207
SNP_208,1,208
SNP_209,1,209
SNP_210,1,210
SNP_211,1,211
SNP_212,1,212
SNP_213,1,213
SNP_214,1,214
SNP_215,1,215
SNP_216,1,216
SNP_217,1,217
SNP_218,1,218
SNP_219,1,219
SNP_220,1,220
SNP_221,1,221
SNP_222,1,222
SNP_223,1,223
SNP_224,1,224
SNP_225,1,225
SNP_226,1,226
SNP_227,1,227
SNP_228,1,228
SNP_229,1,229
SNP_230,1,230
SNP_231,1,231
SNP_232,1,232
SNP_233,1,233
SNP_234,1,234
SNP_235,1,235
SNP_236,1,236
SNP_237,1,237
SNP_238,1,238
SNP_239,1,239
SNP_240,1,240
SNP_241,1,241
SNP_242,1,242
SNP_243,1,243
SNP_244,1,244
SNP_245,1,245
SNP_246,1,246
SNP_247,1,247
SNP_248,1,248
SNP_249,1,249
SNP_250,1,250
SNP_251,1,251
SNP_252,1,252
SNP_253,1,253
SNP_254,1,254
SNP_255,1,255
SNP_256,1,256
SNP_257,1,257
SNP_258,1,258
SNP_259,1,259
SNP_260,1,260
SNP_261,1,261
SNP_262,1,262
SNP_263,1,263
SNP_264,1,264
SNP_265,1,265
SNP_266,1,266
SNP_267,1,267
SNP_268,1,268
SNP_269,1,269
SNP_270,1,270
SNP_271,1,271
SNP_272,1,272
SNP_273,1,273
SNP_274,1,274
SNP_275,1,275
SNP_276,1,276
SNP_277,1,277
SNP_278,1,278
SNP_279,1,279
SNP_280,1,280
SNP_281,1,281
SNP_282,1,282
SNP_283,1,283
SNP_284,1,284
